TRAP ID,Certainty,Elevation,Max diameter,Min diameter,Height,Size Category,Surrounding Land Use,Surface Condition,Land Use Source,Robbed,CRM Condition,CRM Intactness,Photo,Campaign,Source,Municipality,Locality,BG Code,AKB Code,Notes,Latitude,Longitude
1036,Certain,530,46,37,2,Medium,Pasture,Pasture,Survey,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 07,,"Mound likely to be on the West side, earth from excavation moved to pile in the East, tree in the middle.",42.702723,25.347384
1037,Certain,533,34,26,4,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKА 08,,"Located in private property, beehives and small house on it.",42.704853,25.348799
1038,Certain,541,104,88,15,Large,Pasture,Scrub|Tall Grass,Photo,Yes,1,1,Poor,2010,Survey,Shipka,Shushmanets,SHIPKA 09,,"Excavated 1996, Tomb/Temple inside.",42.70713,25.348656
1039,Certain,527,45,35,12,Large,Pasture,Scrub|Tall Grass,Photo,Yes,1,1,Good,2010,Survey,Shipka,Helvetsia,SHIPKA 10,,"Excavated 1996, Tomb inside.",42.705521,25.346335
1040,Certain,530,36,32,10,Large,Pasture,Pasture,Photo,Yes,1,1,Good,2010,Survey,Shipka,Grifonite,SHIPKA 11,,"Excavated 1996, Tomb/Temple inside, nearby the factory.",42.705482,25.344657
1041,Uncertain,537,42,34,3,Medium,Pasture,Pasture,Survey,Yes,2,1,None,2010,Survey,Shipka,,SHIPKA 12,,Probably digged through - mound surface very uneven.,42.706308,25.345734
1042,Uncertain,502,10,8,2,Medium,Pasture,Pasture,Photo,No,3,1,Poor,2010,Survey,Shipka,,SHIPKA 03,,"Recent activity or ancient - modern monument on the top, staircase leading to it, marked on the map 1:25000.",42.700141,25.348373
1046,Certain,367,35,35,3,Medium,Forest,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,AKB,Dunavtsi,,,5500098,Recent rubbish near 1 robbers' trench.,42.627816,25.294272
1047,Certain,362,20,20,1.5,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Dunavtsi,,,,"Overgrown with undefined boundaries, Very wide mound with spread out soil with 2 possible robbers' trench's. 2 very shallow trenches on South side.",42.627402,25.294759
1048,Certain,368,35,20,2,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Dunavtsi,,,,"Can see some stone in trench, overgrown with old robbers' trench, West side cut ; large furrough (assumed robbers' trench).",42.626192,25.295731
1055,Certain,402,77,63,1.5,Medium,Annual Agriculture,Annual Agriculture|Ploughed,Survey,No,4,4,Good,2011,AKB,Sheynovo,,,5500062,Entirely destroyed by agriculture.,42.664873,25.30664
1057,Certain,404,53,44,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Survey,No,4,5,None,2011,Survey,Sheynovo,,,,,42.66972,25.316935
1059,Certain,444,26,25,5,Medium,Urban,Pasture,Survey,Yes,3,3,Good,2011,AKB,Sheynovo,Sheynovskata Mogila,,5500063,"Covered with plants, stairs going up to a comunist momument, earth is mixed, looks like it has been destroyed but replaced.",42.681548,25.325159
1060,Certain,437,30,26,5,Medium,Pasture,Scrub|Tall Grass,Survey,Yes,3,3,Good,2011,AKB,Sheynovo,,,5500061,"Completely covered with plants/trees, etc. Top of the mound was removed by R.'s.",42.678813,25.316116
1063,Certain,378,50,40,0.5,Small,Perennial Agriculture,Annual Agriculture|Ploughed,Survey,No,4,5,None,2011,Survey,Sheynovo,,,,,42.667452,25.322524
1066,Uncertain,419,16,12,0.6,Small,Pasture,Pasture,Survey,No,4,4,None,2011,Survey,Golyamo Dryanovo,,,,"Defunct mound in a very disrupted environment; no obvious robbers' trenchs if any, they are old and lost in the general disuption of the mound and surrounding area.",42.673922,25.24526
1067,Certain,433,22,18,0.5,Small,Pasture,Pasture,Survey,Yes,4,4,None,2011,Remote Sensing,Golyamo Dryanovo,,,,Mostly excavated defunct mound with large crater in the center and trench to the SW; large stone blocks (unworked) in trench; no ancient material visible.,42.670017,25.241125
1068,Certain,434,22,18,5,Medium,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Survey,Yasenovo Region,,,,"Fairly well preserved mound; W side cut away, two recent robbers' trenchs; perhaps some old robbers' trenchs on south.",42.680845,25.234487
1069,Certain,441,22,22,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Yasenovo Region,,,,"Large but low mound, no obvious robbing.",42.681378,25.233672
1070,Uncertain,436,18,13,0.8,Small,Pasture,Pasture,Photo,Yes,3,2,Good,2011,Survey,Yasenovo Region,,,,"Mound with flattened top, field stones piled on top and around; odd shape - squarish and flattened.",42.680225,25.233502
1071,Certain,474,16,15,2,Medium,Forest,Forest,Photo,Yes,2,1,Good,2010,Survey,Gorno Sahrane,,GS 006-13,,"One robbers' trench, earth mound with large river stones in profile.",42.656307,25.21539
2001,Certain,368,19,16,5,Medium,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,4,4,Good,2009,Survey,Koprinka,,KOOP001,,"Destroyed by plaughing, now overgrown.",42.636378,25.31999
2002,Certain,405,40,30,15,Large,Pasture,Pasture,Photo,Yes,3,3,Good,2009,Survey,Koprinka,Golyamata Mogila,KOOP002,,,42.625818,25.326059
2003,Certain,395,30,25,5,Medium,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP003,,,42.626399,25.328311
2004,Certain,397,28,28,2,Medium,Pasture,Pasture,Photo,No,3,1,Poor,2009,Survey,Koprinka,,KOOP004,,,42.626412,25.324036
2005,Certain,390,41,35,7,Large,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP005,,,42.626091,25.319479
2006,Certain,388,22,15,4,Medium,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP006,,,42.626213,25.31907
2007,Certain,386,15,15,5,Medium,Pasture,Pasture,Photo,No,2,1,Good,2009,Survey,Koprinka,,KOOP007,,Covered with grass.,42.626925,25.31884
2008,Certain,363,18,15,2,Medium,Pasture,Pasture,Photo,No,2,1,Poor,2009,Survey,Koprinka,,KOOP008,,,42.627886,25.317414
2013,Certain,366,50,45,6,Large,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP009,,Roman/Thracian sherds found next to it - flat site.,42.623946,25.30949
2014,Certain,357,20,15,6,Large,Pasture,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP010,,,42.620411,25.310659
2015,Certain,376,25,20,2,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,4,3,Good,2009,Survey,Koprinka,Devette Mogili,KOOP011,,,42.622895,25.311128
2016,Uncertain,359,18,18,0.5,Small,Pasture,Pasture,Photo,No,5,5,Good,2009,Survey,Koprinka,Devette Mogili,KOOP012,,,42.626424,25.31247
2017,Certain,370,24,24,3,Medium,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP013,,"Massive stones scattered all around and in the section, almost unrecognizable (vegetation).",42.627181,25.310993
2018,Certain,360,14,12,8,Large,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP014,,,42.625423,25.308789
2020,Certain,381,29,20,7,Large,Pasture,Pasture,Photo,Yes,3,2,Good,2009,Survey,Koprinka,,KOOP016,,Robbers' trench on the top.,42.633216,25.320292
2021,Certain,368,15,10,1,Small,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP017,,Robbers' trench on the S.,42.633649,25.319406
2022,Certain,354,22,13,2,Medium,Pasture,Pasture,Photo,No,2,1,Good,2009,Survey,Koprinka,,KOOP018,,"Robbers' trench on the top, rectangular shape (1.6x2.2x1 m).",42.633562,25.318983
2023,Certain,348,29,22,5,Medium,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP019,,Robbers' trench on the S (1.5x1.5).,42.633604,25.318296
2027,Certain,347,20,20,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,2,Good,2009,Survey,Kazanlak,,KAZ006,,,42.617738,25.351372
2028,Certain,352,28,26,5,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,2,1,Good,2009,Survey,Kazanlak,,KAZ007,,,42.618843,25.356748
2029,Certain,341,41,28,2,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,2,1,Good,2009,Survey,Kazanlak,,KAZ008,,,42.618809,25.360435
2030,Certain,346,57,51,4,Medium,Annual Agriculture,Pasture,Photo,No,2,1,Good,2009,Survey,Kazanlak,Bikchiysuka Mogila,KAZ009,,,42.614987,25.360287
2033,Certain,338,70,50,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,5,4,Good,2010,AKB,Kazanlak,,,,Destroyed by agriculture.,42.624334,25.358027
2034,Certain,373,35,35,0.3,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,5,5,Good,2010,AKB,Hadzhidimitrovo,,HadzXXXC197,5510249,"Destroyed by agriculture, mound and scatter.",42.642994,25.341803
2041,Certain,374,40,33,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,4,Good,2010,AKB,Kran,,Kran024,5510254,"Almost defunct mound, robber trench E side ( 2.8 length x 0.8 width x 0.8 depth), which has been buldozed off, W side ploughed out.",42.642268,25.359819
2042,Certain,371,30,30,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,3,Good,2010,Survey,Kazanlak,,,,"Destroyed by agriculture, huge robbers' trench in the middle, full of water, going to the bedrock.",42.636486,25.358835
2043,Uncertain,374,50,44,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,5,5,Good,2010,AKB,Hadzhidimitrovo,,Hadz001,5510255,Entirely destroyed by agriculture.,42.648103,25.341532
2047,Uncertain,394,55,39,0.5,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,5,5,Good,2010,AKB,Kran,,Kran026,5500101,"Mound, almost invisible, destroyed by agriculture.",42.658093,25.356051
2050,Certain,637,9,5,2,Medium,Pasture,Pasture,Photo,No,2,1,Good,2010,AKB,Enina,Chelecheto|Chelyacheto,Enina011,5510258,Trees on the top.,42.673636,25.421432
2052,Certain,347,30,27,4,Medium,Pasture,Pasture,Photo,Yes,3,2,Good,2010,AKB,Koprinka,,Kop021,5510262,"New treasure hunters big trench on the W side, new 3 holes - seems like garbage holes, modern debris on the surface, digged thtough? - uneven surface.",42.615424,25.348856
2053,Certain,340,52,45,4,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2010,AKB,Kazanlak,,Kaz010,5510263,"New robber trench on the S slope, deep inside (tunnel to the centre of the mound 220x170), overgrown with scrub, access easy, prehistoric shards in robbers' trench. Old trench on top 1.5mx1.5mx0.30m, bones in profile.",42.614311,25.347855
2063,Uncertain,452,50,50,2,Medium,Pasture,Scrub|Tall Grass,Survey,No,4,5,None,2009,Remote Sensing,Hadzhidimitrovo,,,,,42.681116,25.34533
2072,Uncertain,462,25,15,0.2,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,3,Good,2009,Remote Sensing,Sheynovo,,,,Burial chamber from defunct mound - cut away by agriculture and robbed / or part of the house ?.,42.686287,25.336876
2080,Uncertain,484,40,40,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,4,4,Good,2011,Remote Sensing,Shipka,,,,"Heavily ploughed, rocky soil.",42.69169,25.352455
2081,Certain,479,20,15,2.5,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,3,2,Good,2011,Remote Sensing,Shipka ,,,,Old robbers' trench on the top.,42.699317,25.338995
2082,Certain,451,35,35,6,Large,Pasture,Pasture,Photo,Yes,3,3,Good,2011,Remote Sensing,Gorno Sahrane necropolis,Atyuvska Mogila,,,"Robbed mound, robbers' trench on north side, stone ring around the mound, earth taken next to the mound.",42.670536,25.225552
2083,Certain,451,10,10,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Small stones on the surface of the mound.,42.663936,25.214335
2084,Certain,452,10,10,0.4,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Small stones on the surface.,42.663975,25.214065
2085,Certain,449,7,7,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Large stones on the surface of the mound.,42.664045,25.215549
2086,Certain,448,15,15,0.5,Small,Pasture,Pasture,Photo,No,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Destroyed by a power lines tower; large stones encopass the mound area.,42.664017,25.216534
2091,Certain,446,10,10,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Destroyed by a water canal; overgrown.,42.662692,25.217693
2092,Certain,404,10,10,0.4,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Large stones on the surface of the mound.,42.66258,25.218558
2093,Certain,437,5,5,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Small stones on the surface.,42.663474,25.222389
2094,Certain,440,10,10,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Large stones on the surface of the mound.,42.663638,25.22064
2097,Certain,450,16,8,0.8,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Stones spread all over the surface.,42.663051,25.214101
2098,Certain,444,20,18,1,Small,Perennial Agriculture,Scrub|Tall Grass,Photo,No,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Flat, round mound, stony.",42.662431,25.214482
2099,Certain,448,17,13,1,Small,Annual Agriculture,Scrub|Tall Grass,Photo,No,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Low, covered with vegetation ovoid.",42.661516,25.215233
2100,Uncertain,447,15,9,0.5,Small,Annual Agriculture,Scrub|Tall Grass,Photo,No,4,4,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Surface of the mound covered with lots of stones/either from the surrounding pasture or from the mound.,42.66162,25.215561
2102,Certain,448,10,10,1,Small,Annual Agriculture,Scrub|Tall Grass,Photo,No,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Surface of the mound covered with lots of stones/either from the surrounding pasture or from the mound.,42.661005,25.215888
2103,Uncertain,448,52,8,1.5,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,4,3,Good,2010,Survey,Gorno Sahrane,,GS 006-3,,"Positive form, could be rest of the wall, modern debris, one large trench.",42.659839,25.21666
2104,Uncertain,447,16,10,0.2,Small,Annual Agriculture,Scrub|Tall Grass,Photo,No,4,4,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Surface of the mound covered with lots of stones/either from the surrounding pasture or from the mound.,42.659617,25.216351
2105,Certain,443,8,7,0.5,Small,Pasture,Pasture,Not recorded,No,2,1,None,2011,Survey,Gorno Sahrane necropolis,,,,Water drainage channel going through it.,42.659372,25.217076
2106,Certain,443,15,12,1,Small,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Flat, stony, medium-large, ovoid, some vegetation.",42.659395,25.217374
2108,Uncertain,432,22,22,0.3,Small,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Round, flat mound, looks likes it's divided into two mounds but it is one mound.",42.658626,25.219685
2109,Certain,432,15,14,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Medium sized stones, low flat mound.",42.658557,25.21987
2110,Certain,432,17,14,0.6,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"No trenches, small stones.",42.658287,25.219973
2113,Certain,438,16,13,5,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,3,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Surface of the mound covered with lots of stones/either from the surrounding pasture or from the mound.,42.659304,25.218797
2115,Certain,442,24,16,0.2,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Very low, flat, long, grassy mound, some med-sized rocks.",42.660316,25.218237
2116,Certain,444,15,11,0.7,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,3,3,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Large flat mound, some vegetation. Large stones, 2 trenches.",42.66124,25.216482
2117,Certain,444,20,15,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,2,2,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Flat mound, pile of stones on the top, small size, no obvious robbers' trenchs.",42.66232,25.217223
2118,Certain,444,21,20,0.5,Small,Annual Agriculture,Pasture,Photo,Yes,4,3,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,"Large overgrown mound, one robbers' trench.",42.66229,25.215665
2119,Certain,444,26,21,0.5,Small,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,3,3,Good,2011,Remote Sensing,Gorno Sahrane necropolis,,,,Surface of the mound covered with lots of stones/either from the surrounding pasture or from the mound.,42.661645,25.216145
2120,Certain,452,4,4,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Low, flat, round, some vegetation.",42.666846,25.217871
2121,Certain,451,2,2,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Low, flat, possibly bulldozed.",42.667178,25.216963
2123,Certain,436,3,2,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,Stones spread all over the surface.,42.665491,25.224563
2124,Certain,436,5,3,0.6,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Small stones on top, some vegeation, larger stones loose on sides.",42.665931,25.225004
2125,Certain,435,5,3,0.2,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,Stones spread all over the surface.,42.665243,25.22594
2126,Uncertain,437,2,2,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Could be a dug out ditch (agricultural), few stones.",42.664382,25.227905
2127,Certain,435,12,10,0.5,Small,Pasture,Pasture,Photo,Yes,4,3,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Big pile of stones, freshly dug, enlarged from original robbers' trench, vegetation on the bottom of the mound; visible structure, looks like freshly and entirely robbed.",42.664676,25.228358
2128,Certain,435,3,3,0.2,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Small stones on top, some vegeation, larger stones loose on sides.",42.665958,25.225831
2129,Certain,436,4,3,0.4,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Few small stones on top, slight indent in the centre of mound.",42.667119,25.225586
2130,Certain,437,14,12,0.5,Small,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Round, fairly low, scattered med-large stones, very small hole.",42.666556,25.224954
2131,Certain,437,5,4,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Long flat, oval shaped, some vegetation, very few stones (small).",42.667126,25.224549
2132,Uncertain,458,3,2,0.2,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Almost flat, round, small.",42.668537,25.216911
2134,Certain,466,21,7,0.7,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Two mounds close to each other, large and round, many small-medium sized stones on top, some vegetation.",42.668594,25.210662
2135,Uncertain,466,10,9,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Vegetation, stones on top.",42.668747,25.211706
2136,Certain,465,6,5,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Low, many small stones, two large rocks, vegetation.",42.668729,25.211953
2137,Certain,467,9,9,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,Stones spread all over the surface.,42.669057,25.211669
2139,Certain,470,20,4,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Gorno Sahrane necropolis,,,,"Long, many med-large size stones, vegetation.",42.669163,25.20959
2140,Certain,469,3,2,0.5,Small,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Survey,Skobelevo ,,,,"Small robbers' trench on top, many stones surrounding it and much vegetation.",42.669082,25.209379
2141,Certain,469,10,9,0.4,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Very low, round.",42.668867,25.209511
2142,Certain,469,3,2,0.5,Small,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Survey,Skobelevo ,,,,Stones spread all over the surface.,42.669066,25.210104
2143,Certain,467,10,5,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,Stones spread all over the surface.,42.668762,25.210203
2144,Certain,469,8,5,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Worked stone in the middle, vegetation on top.",42.668955,25.208959
2146,Certain,469,9,9,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Very few stones, lots of vegetation, one large stone.",42.669826,25.208677
2147,Certain,469,8,7,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Large stones around the mound, round, low and flat.",42.669703,25.208347
2148,Uncertain,471,10,8,0.2,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Barely visible, very overgrown with vegetation.",42.669494,25.209564
2150,Certain,472,4,3,0.4,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Low, fla, long, small and medium sized stones.",42.669521,25.210341
2151,Certain,473,8,8,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Round. Two large stones, many small rocks on top.",42.669839,25.210427
2152,Certain,473,5,4,0.3,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Skobelevo ,,,,"Overgrown, barely visible, many stones, lots of vegetation.",42.669956,25.210391
